유형,행정동,통,조각필지수,본체에서_거리(m),상세/사유/지번
분리/블록분리,신천동,3,21,665,신천동 33-2 / 신천동 32-22 / 신천동 32-21 / 신천동 32-20 / 신천동 31-3 / 신천동 31-2 / 신천동 30-50 / 신천동 29-11 / 신천동 30-27 / 신천동 30-29 / 신천동 945-1 / 신천동 924 / 신천동 923 / 신천동 810 / 신천동 946-2
분리/지번오류의심,대야동,6,1,660,계수동 산19-1
분리/블록분리,매화동,3,15,651,매화동 180 / 매화동 189 / 매화동 189-1 / 매화동 189-2 / 매화동 189-3 / 매화동 189-4 / 매화동 189-5 / 매화동 190-8 / 매화동 191-1 / 매화동 190-5 / 매화동 190-9 / 매화동 190-11 / 매화동 190-15 / 매화동 194-15 / 매화동 823-6
분리/지번오류의심,목감동,2,9,651,물왕동 387 / 물왕동 387-1 / 물왕동 387-2 / 물왕동 387-3 / 물왕동 387-5 / 물왕동 387-6 / 물왕동 387-7 / 물왕동 387-8 / 물왕동 387-9
분리/지번오류의심,정왕3동,32,8,635,정왕동 2202-6 / 정왕동 2202-7 / 정왕동 2202-11 / 정왕동 2202-13 / 정왕동 2202-14 / 정왕동 2202-15 / 정왕동 2202-18 / 정왕동 2207-35
분리/지번오류의심,과림동,4,1,631,과림동 산40-1
분리/지번오류의심,과림동,3,4,586,과림동 산45 / 과림동 산45-1 / 과림동 산45-3 / 과림동 804
분리/지번오류의심,매화동,6,1,584,금이동 산39-1
분리/블록분리,매화동,6,11,575,금이동 73-1 / 금이동 73-2 / 금이동 73-3 / 금이동 73-4 / 금이동 73-5 / 금이동 73-6 / 금이동 73-8 / 금이동 73-9 / 금이동 73-10 / 금이동 산143-3 / 금이동 714
분리/지번오류의심,정왕3동,25,2,571,정왕동 1961 / 정왕동 1962
분리/지번오류의심,신현동,15,2,566,미산동 202-4 / 미산동 739
분리/블록분리,매화동,7,18,566,금이동 18 / 금이동 21 / 금이동 43 / 금이동 43-1 / 금이동 43-2 / 금이동 43-3 / 금이동 43-4 / 금이동 43-5 / 금이동 43-6 / 금이동 산115-8 / 금이동 산115-5 / 금이동 산115-3 / 금이동 산115-2 / 금이동 15-2 / 금이동 19-4
분리/지번오류의심,정왕3동,25,6,566,정왕동 1958 / 정왕동 1959 / 정왕동 1960 / 정왕동 2124 / 정왕동 2126 / 정왕동 2167-10
분리/지번오류의심,매화동,6,3,558,금이동 630-4 / 금이동 630-3 / 금이동 630
분리/지번오류의심,정왕3동,25,1,558,정왕동 1755
분리/블록분리,신현동,14,16,552,미산동 700 / 미산동 700-1 / 미산동 711-4 / 미산동 748-1 / 미산동 748-2 / 미산동 748-3 / 미산동 산49-1 / 미산동 산49-2 / 미산동 산49-3 / 미산동 산49-4 / 미산동 484-33 / 미산동 749-1 / 미산동 749-3 / 미산동 484-6 / 미산동 484-19
분리/지번오류의심,매화동,6,1,544,금이동 산39-3
분리/지번오류의심,목감동,2,1,541,물왕동 산55-3
분리/지번오류의심,목감동,15,1,536,논곡동 133
분리/지번오류의심,신현동,20,2,531,미산동 494-1 / 미산동 494-14
분리/지번오류의심,정왕1동,34,1,520,정왕동 2122-1
분리/블록분리,과림동,3,12,513,과림동 484-3 / 과림동 489-3 / 과림동 496-51 / 과림동 509-1 / 과림동 484-1 / 과림동 489-1 / 과림동 496-95 / 과림동 496-98 / 과림동 509-3 / 과림동 509-8 / 과림동 804-15 / 과림동 804-32
분리/지번오류의심,목감동,5,1,503,조남동 산36-1
분리/블록분리,매화동,5,13,495,도창동 산21 / 도창동 산21-1 / 도창동 산32-1 / 도창동 산32-2 / 도창동 12-9 / 도창동 12-8 / 도창동 12-7 / 도창동 12-6 / 도창동 12-5 / 도창동 12-4 / 도창동 12-3 / 도창동 12-1 / 도창동 12
분리/지번오류의심,과림동,4,2,490,과림동 산35 / 과림동 산35-1
분리/지번오류의심,매화동,5,1,483,도창동 318-2
분리/지번오류의심,매화동,6,6,478,금이동 627-4 / 금이동 627-3 / 금이동 627-2 / 금이동 627-1 / 금이동 627 / 금이동 719
분리/지번오류의심,배곧2동,35,1,458,배곧동 278
분리/지번오류의심,정왕3동,25,2,452,정왕동 1913 / 정왕동 1747
분리/지번오류의심,정왕4동,18,1,450,정왕동 1898
분리/지번오류의심,과림동,5,4,448,과림동 34 / 과림동 34-1 / 과림동 34-2 / 과림동 34-3
분리/지번오류의심,정왕3동,25,9,448,정왕동 893-9 / 정왕동 893-8 / 정왕동 893-7 / 정왕동 893-6 / 정왕동 893-5 / 정왕동 893-4 / 정왕동 893-3 / 정왕동 893-2 / 정왕동 893-1
분리/지번오류의심,과림동,1,2,447,무지내동 485 / 무지내동 484-2
분리/과대확장의심,연성동,20,138,443,광석동 431-27 / 광석동 431-26 / 광석동 431-25 / 광석동 431-21 / 광석동 357-17 / 광석동 357-11 / 광석동 357-10 / 광석동 357-5 / 광석동 357-4 / 광석동 357-3 / 광석동 356-4 / 광석동 356-3 / 광석동 356 / 광석동 355-18 / 광석동 355-17
분리/지번오류의심,대야동,7,4,440,계수동 642-100 / 대야동 642-101 / 대야동 642-277 / 계수동 479-6
분리/지번오류의심,배곧2동,19,1,440,배곧동 246
분리/지번오류의심,매화동,3,3,435,매화동 53-5 / 매화동 53-13 / 매화동 822
분리/지번오류의심,정왕2동,13,1,434,정왕동 1898
